,rank,games,wins,draws,losses,goals_for,goals_against,goal_diff,points,players_used,assists,pens_made,pens_att,cards_yellow,cards_red,shots_on_target_against,saves,clean_sheets,shots_on_target,games_starts,games_complete,games_subs,unused_subs,points_per_match
cards_yellow,0.07040454229078932,0.0988940852508324,-0.07232977039198331,0.09254116448860965,0.06501880342809123,-0.051777955412377244,0.08597031144413224,-0.07652787471149593,-0.0604698313701334,0.10136521444270179,-0.07624057712624582,0.13350038562040842,0.12782617766045748,1.0,0.7312402309313506,0.06709488553341639,0.10664538677009193,-0.0668341278921071,-0.08568173924897117,0.09761733269648629,0.15457024521535945,0.28032643940964075,0.09548687065121059,-0.07784060714506351
cards_red,0.12017572943749971,0.08553093459302998,-0.11176489642772493,0.05380349593183732,0.12488678127600449,-0.09100099843207123,0.1292516753562979,-0.1236447331766015,-0.10914779281548975,0.16131831610381045,-0.12698724827586966,0.09461682674337846,0.10031490701894545,0.7312402309313506,1.0,0.13893864792104704,0.15436208472701993,-0.10286811009360995,-0.05638931085587737,0.08362559423094659,0.022398404228933397,0.14823575536105132,0.12123608645058154,-0.12623323252391677
shots_on_target_against,0.6455496448477172,0.187378689171966,-0.6100109833112535,0.06055946137232479,0.7022850170808602,-0.48045335934788946,0.7721538231696773,-0.6963185757996365,-0.6327464888468549,0.31081249031592467,-0.49032251998476234,-0.21480308443100743,-0.2290746545419788,0.06709488553341639,0.13893864792104704,1.0,0.9434516199145729,-0.587073372900297,-0.35700054632414263,0.18758986284475135,0.2351938972889706,-0.07445198197403473,0.17204350084036912,-0.6722668099659882
saves,0.4801396503111841,0.1899376173657405,-0.45470187919470245,0.08421232439478095,0.520408638552932,-0.3881590484564866,0.5348401222815597,-0.5185460072640934,-0.46496589612281586,0.23514554925472417,-0.4085073610807523,-0.17769517924452416,-0.19338114262166656,0.10664538677009193,0.15436208472701993,0.9434516199145729,1.0,-0.39652522148754726,-0.27754856606604367,0.19030984106774668,0.33298262521390615,-0.10053623529970941,0.17528287627926245,-0.5027318657258317
clean_sheets,-0.6565020170743592,0.2128250161048953,0.7109448352901546,-0.052982834632634875,-0.6677815276964496,0.47916420239451,-0.7884200497325352,0.7035200784250876,0.7384973889091032,-0.25415406338920116,0.4514336468738438,0.18857177424705107,0.194763888510474,-0.0668341278921071,-0.10286811009360995,-0.587073372900297,-0.39652522148754726,1.0,0.46005195875629884,0.21282339330934816,0.2135398779224148,-0.004653919167081808,-0.03622291492712075,0.7122182236077268
shots_on_target,-0.6708882681508529,0.17235812724101732,0.7631282451666426,-0.21135952090961194,-0.6515353725231052,0.8342346875200625,-0.4492849504022234,0.7681509474884053,0.7664743274547932,-0.2112213048041705,0.7861879071439517,0.3031469677753138,0.29436978047021606,-0.08568173924897117,-0.05638931085587737,-0.35700054632414263,-0.27754856606604367,0.46005195875629884,1.0,0.17197000789084915,0.20812073820442795,-0.06731552380877436,0.0847669750104078,0.7461140561377165
games_starts,0.051167908182861314,0.9996626165445345,0.11588296073553553,0.20989162485044452,0.12851536333920205,0.09215083568613883,0.12401344640631844,-0.0010309392137982788,0.15861017335740424,0.1396830198703298,0.037898242435237046,0.12263767054716691,0.12538001815088762,0.09761733269648629,0.08362559423094659,0.18758986284475135,0.19030984106774668,0.21282339330934816,0.17197000789084915,1.0,0.5236451135487276,0.34162351135181396,0.38269739812080694,-0.0061882750966823635
games_complete,0.03819018728276783,0.5233450566803513,0.08221383758230426,-0.11558558648472976,0.083729851041705,0.0123478288116872,-0.007188524463486239,0.011471907947141029,0.06804345814198776,-0.1980210241375167,0.0035221841956357683,-0.18451711081519157,-0.17143637532060135,0.15457024521535945,0.022398404228933397,0.2351938972889706,0.33298262521390615,0.2135398779224148,0.20812073820442795,0.5236451135487276,1.0,-0.906327087349193,0.024681059084762026,0.01749214051630769
games_subs,-0.001184015711152794,0.3411074172723706,0.05444857243410818,0.06691026795326023,0.03019605575356839,0.08111386232326195,0.08556036246399296,0.01076486643114501,0.06918567604161636,0.2097365207803922,0.06803384130553065,0.24428225794222827,0.23824987414878,0.28032643940964075,0.14823575536105132,-0.07445198197403473,-0.10053623529970941,-0.004653919167081808,-0.06731552380877436,0.34162351135181396,-0.906327087349193,1.0,0.3273621156316068,0.013105815386991088
unused_subs,0.05108157747337506,0.3827955004186269,0.013899637726706677,0.11085726259477255,0.07825401417341223,0.058206510091558084,0.1363701619485195,-0.029505965480892522,0.03190846390724813,0.25183141590567315,0.005051517476539361,0.16972038890823457,0.17984285762734395,0.09548687065121059,0.12123608645058154,0.17204350084036912,0.17528287627926245,-0.03622291492712075,0.0847669750104078,0.38269739812080694,0.024681059084762026,0.3273621156316068,1.0,-0.036119841807782826
points_per_match,-0.9360149004613226,-0.006088701168482091,0.9780788103360816,-0.2585968018889755,-0.9264086944315115,0.8750241925749918,-0.7929585984367853,0.9648226589714899,0.9849195691002139,-0.36239530431996136,0.8400067719955817,0.36296848991555253,0.3480189845222876,-0.07784060714506351,-0.12623323252391677,-0.6722668099659882,-0.5027318657258317,0.7122182236077268,0.7461140561377165,-0.0061882750966823635,0.01749214051630769,0.013105815386991088,-0.036119841807782826,1.0
